,keyword,importance
11373,cracked,30
1788,writing,30
14294,longstory,30
5257,coupledays,30
10069,mistakes,30
4074,statements,30
8298,trading,30
9577,useless,30
8684,uber,30
10591,notification,30
8757,arrival,30
1958,track,30
4231,hands,30
509,cashiers,30
7598,prove,30
4457,dealers,30
4537,carvana,30
5149,face,30
7204,agents,30
926,sense,30
10871,companies,30
2952,sensor,30
1708,control,30
7117,businesspractices,30
7504,cashierscheck,30
2527,stuff,30
10087,convenience,30
14220,quote,30
13659,temptag,29
12987,checking,29
4057,tear,29
10955,shot,29
6499,dealership,29
11926,buyers,29
14162,unacceptable,29
7206,appraisal,29
3867,loved,29
13013,manual,29
1536,choice,29
7811,carinsurance,29
13400,balance,29
3418,falseadvertising,29
1063,hrs,29
14119,caronline,28
4155,carvana,28
13292,fob,28
5075,horriblecompany,28
11226,details,28
1963,newdeliverydate,28
13333,newone,28
1951,longstoryshort,28
5500,ones,28
10228,ticket,28
13800,onestar,28
5959,discount,28
12462,rest,28
5713,rating,28
4211,description,28
11790,detail,28
2155,servicerep,28
9759,lots,27
14092,happening,27
12765,piece,27
11341,carvanacar,27
10818,garage,27
9728,lasttime,27
5272,shopping,27
8835,standards,27
11925,offers,27
13708,prices,27
8967,sounds,27
3719,goodexperience,27
3963,metal,27
10710,carcompany,27
9867,barely,27
1411,assistance,27
444,ball,27
11857,absoluteworst,27
9942,oldcar,27
2143,horriblecustomer,27
14602,returnvehicle,26
196,risk,26
159,differentcar,26
710,registrationprocess,26
5278,localdealer,26
13277,regret,26
13280,brand,26
3088,checks,26
2655,temptags,26
284,concerns,26
7422,sort,26
10724,question,26
3031,dealership,26
7239,awesome,26
8626,driveway,26
10284,wrongcar,26
9611,trunk,26
13493,poorcustomerservice,26
7619,changes,26
480,partner,25
5001,floormats,25
8458,crooks,25
8260,dayreturnpolicy,25
3158,cut,25
3905,roof,25
2254,car,25
12028,consumer,25
1298,caravana,25
9103,deliverydates,25
8377,lawyer,25
2547,driverslicense,25
7982,extendedwarranty,25
14842,horriblecustomerservice,25
5335,frame,25
5560,worry,25
12994,customerservicerep,25
5985,ownership,25
2454,fixing,25
636,woman,25
7759,reservation,24
7057,effort,24
10681,oct,24
13308,daytrial,24
1607,bottom,24
3652,middle,24
3374,pickdate,24
7882,firstvehicle,24
11310,localdealership,24
13611,carvana,24
10338,signing,24
5498,carshop,24
6285,rescheduling,24
1579,figured,24
14461,ride,24
1774,screen,24
9154,blame,24
4050,bait,24
4470,bigdeal,24
10578,trash,24
12030,estimate,24
9876,garbage,23
13324,extension,23
13176,favor,23
11223,temporarytags,23
938,dollar,23
3502,steps,23
1723,dashboard,23
7792,computer,23
3460,practice,23
3737,code,23
5688,carpurchase,23
14154,oilleak,23
2796,brakepads,23
4565,vendor,23
10716,head,23
13742,bs,23
3386,difference,23
3366,sat,23
1738,shape,23
4777,requests,23
5785,min,23
6123,fraudulent,23
7026,rdparty,23
9215,delaydelivery,23
10803,asap,23
174,level,23
1897,timedelivery,22
9787,stand,22
4858,understanding,22
9024,somebody,22
11337,trip,22
4992,tesla,22
7108,returnperiod,22
9192,paperwork,22
6011,papers,22
4467,smell,22
923,gon,22
3686,package,22
10004,emissions,22
9897,alignment,22
8254,remote,22
7743,accidents,22
9370,ac,22
8668,numbers,22
13630,downpayment,22
9228,hopefully,22
2095,badexperience,22
4580,security,22
6816,standard,22
2783,shame,22
9823,frontbumper,21
12322,honest,21
14000,steeringwheel,21
244,repairfacility,21
6212,scratch,21
9151,silverock,21
11635,bunch,21
421,delivering,21
14791,deliveryperson,21
4730,carpayment,21
13994,vehicle,21
3433,badbusiness,21
9871,audi,21
1844,self,21
798,creditscore,21
13428,court,21
12364,link,21
7261,deductible,21
7236,imperfections,21
11675,expense,21
7069,treat,21
4849,forced,21
9094,inventory,21
5630,extend,21
14775,suggest,21
4054,dealer,21
8544,man,20
12232,van,20
11571,surprise,20
8271,sticker,20
4112,belt,20
14473,rip,20
5654,ship,20
10614,radio,20
7683,car,20
7841,daymoney,20
3726,dealer,20
4106,complain,20
2478,cool,20
1257,spare,20
5994,processing,20
11450,carvanacustomer,20
7378,failure,20
8880,interestrate,20
13153,deceptive,20
7847,easyprocess,20
1318,concern,20
13810,tread,20
405,crazy,20
3634,tradevalue,20
4003,followingday,20
7303,reasons,20
13662,offering,20
14787,cosmeticissues,20
11672,blue,20
14405,towtruck,20
2138,newtires,20
3059,book,20
14673,forms,20
12255,break,19
13491,emergency,19
13992,bankstatements,19
6864,carvanapurchase,19
10552,mini,19
8611,dents,19
13718,days,19
6955,bc,19
3523,military,19
13447,overnight,19
12834,motor,19
9839,wipers,19
1875,mins,19
2209,terriblecompany,19
4426,trackingnumber,19
4563,covid,19
14917,nope,19
6574,kids,19
4707,submitting,19
5169,doubt,19
