,keyword,importance,total_importance
104,"refund eta, refund request, manual refund request, manual refund, refund",0.65-0.5811-0.5691-0.5299-0.5176,2.85
105,"hidden fees, ads, * * ads, fees, sell",0.6676-0.5106-0.5025-0.3879-0.2502,2.32
106,"payoff * * * * * * *, keybank, bank, payoff, car carvana",0.4171-0.4134-0.3874-0.3838-0.3753,1.98
107,"bent cv axles, bad motor, bent rims, axles, vehicle",0.7151-0.528-0.449-0.4307-0.3667,2.49
108,"vehicle carvana, purchased vehicle, carvana provided, carvana, recourse",0.4561-0.4207-0.3578-0.3443-0.3318,1.91
109,"carvana, something carvana, car registration, bought car, temporary tags",0.533-0.4777-0.471-0.4495-0.4278,2.36
110,"car warranty, days warranty, warranty, bought car, repair",0.5297-0.4245-0.4114-0.3501-0.3369,2.05
111,"delaying delivery, refundable delivery fee, delivery date, first delivery date, ordered car",0.5416-0.4842-0.4527-0.4378-0.3901,2.31
112,"bank carvana, documentation carvana, information carvana, carvana, bank",0.6129-0.6119-0.5164-0.4181-0.3162,2.48
113,"contacted carvana, carvana reps, carvana, overnight check, transaction",0.564-0.452-0.4499-0.407-0.3943,2.27
114,"refund, delivery fee, carvana, fee, delivery",0.4791-0.4765-0.3833-0.3616-0.3185,2.02
115,"refund, carvana, bank, rejected, payment",0.5106-0.4457-0.3792-0.3023-0.2977,1.94
116,"refund, purchase vehicle, additional documents, shipping, shipping cost",0.4842-0.3779-0.3578-0.3431-0.3296,1.89
117,"car buying process, registration process, transfer, registration, trade vehicle",0.4898-0.4852-0.4686-0.4655-0.4054,2.31
118,"underwriters, refund, final sale, deposit, purchasing process",0.4066-0.383-0.3514-0.3181-0.3051,1.76
119,"carvana, carvana app, bank statements, banking statements, bank",0.3625-0.3624-0.3456-0.3355-0.3317,1.74
120,"carvana policies, shipping fee deductions, refunds, carvana, hours carvana",0.5443-0.4466-0.4019-0.3881-0.377,2.16
121,"brake pads, steering wheel, contacted carvana, brake, rotor",0.4239-0.4051-0.4027-0.3979-0.3899,2.02
122,"extended warranty, state inspection, warranty, tow, bought car",0.45-0.4275-0.3917-0.3422-0.3314,1.94
123,"purchased vehicle, dealer, bad car, vehicle, received vehicle",0.5836-0.563-0.4855-0.4006-0.4,2.43
124,"delete, account, company, .",0.4108-0.3942-0.2954-0.0774,1.18
125,"vehicle registration, registration, vehicle carvana, complete registration, register",0.5798-0.49-0.4772-0.4592-0.454,2.46
126,"warrant, acura mdx, warranty, chip, repairs",0.4212-0.3966-0.3789-0.3477-0.3442,1.89
127,"loan carvana, carvana paid, plates registration title, car loans, refund",0.3975-0.3721-0.3675-0.366-0.3397,1.84
128,"carvanas insurers, return car, warranty, purchased vehicle, day return period",0.4561-0.4535-0.3721-0.3456-0.312,1.94
129,"warranty issue, warranty company, damaged car, warranty, contacted carvana",0.4979-0.451-0.4214-0.3983-0.356,2.12
130,"carvana car purchase, carvana business, carvana explanation, carvana car, carvana",0.6273-0.579-0.5626-0.544-0.5344,2.85
131,"warranty, new brakes, vehicle purchase, transmission oil, new transmission",0.383-0.3823-0.3816-0.3594-0.3444,1.85
132,"carvana team refunds, refund, refunds, refunded, nonrefundable shipping",0.6232-0.4828-0.4555-0.4532-0.4517,2.47
133,"vehicle purchase, carvana, payment, refund, delivery fee",0.5553-0.4622-0.3924-0.3896-0.3664,2.17
134,"delays, delay, 2nd delay, delayed, 3rd delay",0.4795-0.4097-0.4023-0.4004-0.3998,2.09
135,"car carvana, refund, carvana, car, back car",0.4387-0.4004-0.3589-0.2737-0.2623,1.73
136,"car carvana, carvana, carvana * *, carvana * * * *, carvana * * * * *",0.52-0.4322-0.4271-0.4185-0.4176,2.22
137,"refund, check refund, refund amount, warranty, dealership",0.4533-0.4471-0.4358-0.3657-0.3357,2.04
