,keyword,importance,total_importance
2597,"car title, refund, buyback, horrible scammers, carvana",0.5305-0.4213-0.4117-0.3813-0.3535,2.1
2598,"new temporary tags, temporary tags, temporary tag, new temporary tag, permanent registration plates",0.602-0.5928-0.5454-0.5378-0.5128,2.79
2599,"temporary tags, third temporary tag, contacted carvana, car carvana, temporary tag",0.4429-0.4391-0.4355-0.4352-0.4151,2.17
2600,"carvana lied, carvana, inspection, inspection process, vehicle",0.5546-0.4637-0.4127-0.3853-0.3421,2.16
2601,"compensation, carvana car, delayed, carvana, delivered",0.3142-0.2743-0.2118-0.2043-0.1957,1.2
2602,"tire, tires, new tires, wheel, complaint",0.406-0.3809-0.3782-0.3617-0.32,1.85
2603,"day money back guarantee, back guarantee, day money back guarantee period, bought car, tow truck",0.388-0.376-0.3517-0.3481-0.3318,1.8
2604,"payment carvana, auto payment information, auto payment, notice carvana, acura ilx",0.55-0.4898-0.4809-0.4475-0.4343,2.4
2605,"vehicle carvana, carvana car, purchased vehicle, carvana, vehicle state",0.6019-0.5267-0.5147-0.4534-0.4335,2.53
2606,"refunded, car sale, earlier slot, earlier available spots, contract",0.3748-0.3692-0.3504-0.3329-0.3242,1.75
2607,"purchased vehicle, range rover evoque, original vehicle, new loan, vehicle * * *",0.4795-0.4114-0.3876-0.3787-0.3675,2.02
2608,"registration paperwork, registration, temporary tag, paperwork, carvana",0.5791-0.5338-0.3731-0.3615-0.353,2.2
2609,"complaint ticket, vehicle carvana, refund, carvana, carvana * *",0.5123-0.4233-0.417-0.3696-0.3666,2.09
2610,"vehicle carvana, carvana, purchase vehicle, title, vehicle",0.4772-0.3812-0.3612-0.2898-0.2833,1.79
2611,"carvanas warranty, carvana warranty, air conditioning, air conditioning system, carvanas warranty company",0.5442-0.543-0.5279-0.5234-0.5211,2.66
2612,"original bb complaint number, carvana contact, refund, complaint, refunded",0.5321-0.4691-0.4546-0.4035-0.3789,2.24
2613,"carvanas 120pt inspection, inspection, 120pt inspection, car shakes, filthy air filters",0.4607-0.4274-0.3996-0.3459-0.3317,1.97
2614,"registration, audi a4, audi, dealership, refund",0.4169-0.3537-0.337-0.3299-0.3133,1.75
2615,"contract, original contract, car arrive, signed contract, awd dodge charger",0.3615-0.3494-0.3346-0.3344-0.3315,1.71
2616,"registration, carvana, authorize repair, warranty, warranty department",0.5536-0.4097-0.3826-0.3819-0.3793,2.11
2617,"purchase carvana, car purchase, carvana, car deal, payment",0.5746-0.4633-0.4098-0.4047-0.3871,2.24
2618,"registered, bought car, accounting department, cancel, ca",0.2798-0.2712-0.2489-0.2447-0.2176,1.26
2619,"car carvana, insurance, insurance premium, vehicle, carvana",0.485-0.4178-0.4015-0.3682-0.3671,2.04
2620,"lower grade tire, car tires, tires, tread depth, tire",0.651-0.5005-0.4419-0.434-0.4052,2.43
2621,"range rover, unregistered vehicle, vehicle, carvana, delivered",0.5757-0.469-0.4062-0.3934-0.3057,2.15
2622,"repair costs, purchased vehicle, manufacturers color, repair, * * * dealership",0.4387-0.4021-0.3939-0.38-0.3534,1.97
2623,"registration plates, registration change, title plates, vehicle carvana, complete registration",0.4362-0.4142-0.3879-0.3693-0.3643,1.97
2624,"car loan, car loans, different car loans, carvana, car account",0.4354-0.4198-0.4095-0.347-0.3432,1.95
2625,"contacted carvana, vehicle carvana, carvana, purchased vehicle, carvana frustrated",0.5973-0.5647-0.4974-0.4896-0.469,2.62
2626,"delivery days, waiting, delivery, call, car",0.4147-0.3519-0.3432-0.3277-0.3025,1.74
2627,"card registration, registration, license plate, complaint, warranty",0.5608-0.4629-0.4008-0.3668-0.3388,2.13
2628,"gmc terrain sle, gmc terrain, title, gmc, vehicle",0.4466-0.3616-0.3342-0.2995-0.2918,1.73
2629,"suspension damage, oil change, suspension, engine filter, vehicle inspection",0.3721-0.3263-0.3212-0.3189-0.3071,1.65
2630,"car carvana, carvana delivery date, carvana delivery, carvana, carvana twice",0.5368-0.5306-0.5174-0.4561-0.4333,2.47
2631,"carvanas warranty partner, carvanas warranty, contacted carvana, contact carvana, carvana representative",0.5806-0.5764-0.5204-0.5133-0.4555,2.65
2632,"temporary plate, local title office, third party company regusa, carvana, title office",0.385-0.3684-0.3642-0.3465-0.3223,1.79
2633,"insurance, vehicle drop, vehicle today, carvana, inspection",0.3997-0.3378-0.3317-0.3082-0.2663,1.64
2634,"damaged tires, contact silver rock, defective tires, tire replacement, replacement tires",0.4502-0.4315-0.4304-0.405-0.4033,2.12
2635,"car carvana, purchased vehicle, rental car, rental car costs, damaged car",0.4265-0.4238-0.4054-0.3953-0.3932,2.04
2636,"road noise, wheel bearing, wheel bearings, rear wheel bearings, warranty",0.3794-0.3608-0.3538-0.3502-0.3447,1.79
2637,"bounced check, bounced check attempts, check bounced, replacement check, deposit",0.6059-0.5895-0.5773-0.383-0.3723,2.53
2638,"car registration, car registration documentation, carvana paid, final registration, temporary permit",0.5288-0.5257-0.4586-0.452-0.4506,2.42
2639,"reimbursement, insurance, insurance company, jeep, inspection",0.3695-0.3676-0.3467-0.3234-0.3155,1.72
2640,"insurance verification, underwriters, reservation, incorrect information, insurance",0.5426-0.4139-0.4132-0.3785-0.3283,2.08
2641,"* * * 320i, phone number, * * * repair shop, purchased vehicle, repair shop",0.4025-0.3765-0.3577-0.3529-0.3495,1.84
2642,"silver rock warranty, silver rock warranty company, warranty, warranty company, rock warranty",0.52-0.5022-0.4607-0.4574-0.4527,2.39
2643,"state car inspection, car inspection, state inspection, inspection, car carvana",0.5374-0.5203-0.4562-0.4409-0.4235,2.38
2644,"tag registration, registration, purchased vehicle, temporary tag, paperwork",0.5694-0.466-0.4308-0.37-0.3584,2.19
2645,"car carvana, registration, legal documents, carvana february, carvana still",0.3493-0.3258-0.3098-0.3014-0.2853,1.57
2646,"credit carvana, amount carvana, consumer credit transaction, carvana, credit transaction",0.6998-0.604-0.5103-0.5073-0.5045,2.83
2647,"purchased vehicle, vehicle carvana, rental car, carvana, vehicle",0.4766-0.4368-0.3601-0.3244-0.2951,1.89
2648,"fake delivery date, delivery date, compensation policy, delivery time, car online",0.4204-0.3713-0.3428-0.3363-0.3233,1.79
2649,"silver rock fix repairs, silver rock, repairs, repair, van",0.5141-0.3703-0.3494-0.3328-0.3176,1.88
2650,"registration struggle, car registration, registration, registration process, register",0.5799-0.548-0.4872-0.4754-0.4685,2.56
2651,"car carvana, registration, permanent tags, carvana, waiting",0.4351-0.4156-0.3944-0.3661-0.3399,1.95
2652,"reschedule delivery, car delivery, advertised car, financed car, early delivery dates",0.443-0.402-0.401-0.3737-0.355,1.97
2653,"jeep compass, jeep, car carvana, carvana vehicles, finance department bridgecrest",0.4574-0.3839-0.3815-0.3647-0.3642,1.95
2654,"temporary registration, car delivered, ownership papers, * * * * * * * registration, registration",0.4513-0.4328-0.4217-0.3938-0.3906,2.09
2655,"shipping services, area carvana, car carvana, carvana associate, carvana vehicles",0.4765-0.46-0.436-0.4328-0.4289,2.23
2656,"customer service reps, customer service, overpayment, referral, customer",0.416-0.357-0.3488-0.3044-0.288,1.71
2657,"silver rock warranty, silver rock warranty people, rock warranty, problem silver rock, resonator",0.5127-0.4827-0.4328-0.4191-0.4024,2.25
2658,"purchased vehicle, vehicle inspection report, carvana rep, carvana, illegal car",0.5176-0.4116-0.4099-0.3972-0.3573,2.09
2659,"cracked windshield, new windshield, repair, windshield, scam",0.4897-0.4364-0.3621-0.344-0.3232,1.96
2660,"car carvana, carvana car, carvana employee, carvana, purchase car",0.4827-0.4743-0.4402-0.417-0.4089,2.22
2661,"car carvana, factory warranty, carvana, swap car, warranty",0.4287-0.3785-0.3453-0.3358-0.3295,1.82
2662,"hiding damages, vehicle carvana, virginia plates, carvana inspection, contact carvana",0.4314-0.4214-0.4208-0.4195-0.4182,2.11
2663,"payment carvana, financing company, financing, car carvana, reapply",0.491-0.4408-0.4397-0.398-0.3377,2.11
2664,"contacted carvana, carvana, rental car, vehicle, car",0.5865-0.5226-0.4371-0.382-0.3444,2.27
2665,"worst car buyer experience, car carvana, class action lawsuit, bought car, carvana",0.4816-0.4609-0.4061-0.388-0.3801,2.12
2666,"registration carvana, expired registration, registration issue, rental carvana, carvanas fault",0.4458-0.425-0.3942-0.3928-0.359,2.02
2667,"car loan, car carvana, cash check, carvana, credit union",0.4851-0.4795-0.4565-0.4464-0.3503,2.22
2668,"consumer credit contract, dealership address, consumer credit, dealership, rude customer service representatives disclamer",0.5577-0.4915-0.4624-0.4399-0.3824,2.33
2669,"kia * * * lx sedan 4d vin, kia * * *, kia, emissions, check engine light",0.5406-0.3723-0.3656-0.3553-0.3309,1.96
2670,"car carvana, inconvenient carvana, * * * carvana, * * * * * * carvana, * * * * * carvana",0.5275-0.4767-0.4682-0.4667-0.4663,2.41
2671,"class action lawsuits, lawsuits, carvana llc, many class action lawsuits, temporary plate",0.4832-0.4401-0.436-0.4199-0.4,2.18
2672,"vehicle carvana, non - disclosed accident, collision repair shop, previous accident, warranty",0.4537-0.4343-0.3761-0.369-0.3598,1.99
2673,"dealership address, * * * * * * * dealership, * * * * * * dealership, docusign envelope id, * * * * * dealership",0.462-0.4481-0.4411-0.4376-0.4324,2.22
2674,"registration, information carvana, carvana, registration process, register",0.4514-0.4355-0.4252-0.4176-0.4122,2.14
2675,"car payment, second payment, payment, car carvana, dealer",0.4873-0.3998-0.3435-0.3395-0.3357,1.91
2676,"return car, car warranty, carvana car, car pd, car ins",0.5204-0.4875-0.4752-0.4276-0.4001,2.31
2677,"carvana paid, car title, carvana * *, loan balance, carvana",0.5768-0.5363-0.4457-0.4359-0.4327,2.43
2678,"registration carvana, registration paperwork, new temporary operating plate, registration, registration documents",0.6359-0.5062-0.471-0.4694-0.4666,2.55
2679,"nfcu, loan, carvana states, payment, transaction",0.4488-0.3759-0.3174-0.3136-0.3058,1.76
2680,"vehicle lien, purchased vehicle, vehicle carvana, lien title, previous vehicle",0.501-0.4765-0.42-0.389-0.3739,2.16
2681,"registration, vehicle carvana, purchased vehicle, register, vehicle work",0.4529-0.4423-0.4313-0.4032-0.3752,2.1
2682,"valid temporary plate, license plate, silver rock, new tires, car ad",0.3918-0.3266-0.3253-0.3246-0.3145,1.68
2683,"warranty company, warranty, * odyssey, odyssey, * * * * * odyssey",0.4133-0.4024-0.3827-0.3783-0.3728,1.95
2684,"tax statements, tax forms, tax information, income verification, tax",0.4518-0.4132-0.4005-0.3695-0.343,1.98
2685,"original corolla trade, warranty service providers, warranty company, warranty service, warranty",0.4535-0.4454-0.4328-0.4248-0.4208,2.18
2686,"carvanaa vendor june 6th, temporary registration, actual registration, registration vendor, registration",0.5087-0.4471-0.4168-0.4094-0.4093,2.19
2687,"new temporary tags, new temporary plates, legal documents, temporary tags, complaint",0.388-0.3813-0.3763-0.3753-0.3502,1.87
2688,"recalled vehicle, purchased vehicle, unacceptable business practice, poor business practice, lemon",0.5535-0.4267-0.4022-0.382-0.312,2.08
2689,"warranty company silverrock, key batteries, car carvana, warranty company, carvana",0.4589-0.425-0.4202-0.3891-0.3635,2.06
2690,"lost car, * * * * * accord, accord, paycheck, payment",0.3105-0.2836-0.2703-0.2609-0.2415,1.37
2691,"expired tag, temporary tag, tag carvana, new temporary tag, vehicle carvana",0.5121-0.4891-0.481-0.4738-0.4164,2.37
2692,"contacted carvana, carvana purchase, car carvana, attorney form, carvana",0.5653-0.5602-0.5365-0.48-0.4658,2.61
2693,"carvana plates, temp carvana plates, vehicle carvana, purchased vehicle, carvana",0.5157-0.4721-0.4698-0.4175-0.3283,2.2
2694,"vehicle carvana, purchased vehicle, dealership, contacted carvana, car dealership",0.5222-0.4892-0.4813-0.4664-0.4653,2.42
2695,"carvana ship, carvana, car payment, delivery fee, first car payment",0.6536-0.5503-0.5049-0.4981-0.4585,2.67
2696,"new temporary plate, temporary operation plate, temporary plate expiration, temporary plate, 3rd temporary plate",0.5646-0.5228-0.5215-0.5074-0.4931,2.61
2697,"insurance, vehicle carvana, swap vehicle, purchased vehicle, unreliable car",0.4764-0.412-0.3919-0.3849-0.3739,2.04
2698,"carvana repair shop, ac repairs, certain repairs, contacted carvana, repairs",0.5369-0.4712-0.4327-0.4179-0.4057,2.26
2699,"car carvana, carvana, car dealers, car dealer, car company",0.5428-0.4674-0.4221-0.4129-0.3897,2.23
2700,"contact carvana, carvana negligence, carvana, license plate, expired temp tag",0.5843-0.5139-0.4241-0.3999-0.3504,2.27
2701,"tag paperwork, 90day temp tags, temporary tag, state law, registration tag",0.4894-0.3847-0.3702-0.3613-0.358,1.96
2702,"delivery dates, delivery date, title transfer, carvana june, cancellation",0.4023-0.4006-0.3958-0.3836-0.3569,1.94
2703,"car carvana, car warranty, carvana, * * * carvana, * * carvana",0.4845-0.4198-0.4134-0.4074-0.4053,2.13
2704,"registration fees, sales tax, carvana multiple times, carvana, refund",0.457-0.4526-0.3927-0.3916-0.382,2.08
2705,"total scam, claims, scam, legal advice, silverrock",0.4417-0.4076-0.4073-0.3285-0.3247,1.91
2706,"vehicle carvana, registration, carvana, register, temp tag",0.5013-0.3713-0.3617-0.3531-0.3475,1.93
2707,"carvana paid, carvana agent, indiana carvana rep never, carvana rep, carvanas",0.5573-0.4853-0.4634-0.4562-0.4443,2.41
2708,"ssa-89 form, ssa-89, refused, form, resubmit",0.7057-0.5955-0.4116-0.3339-0.2521,2.3
2709,"multi - point inspections, multipoint inspection, inspection, extra scratches, scratches",0.4575-0.4439-0.437-0.4336-0.41,2.18
2710,"reimbursement check, purchased vehicle, received vehicle, vehicle carvana, reimbursement",0.4882-0.4244-0.4016-0.3827-0.3711,2.07
2711,"refund, jeep patriot, jeep patriot approx, financing issues, jeep",0.4453-0.3867-0.3817-0.3642-0.3222,1.9
2712,"registration, temporary plate, purchased vehicle, plate, vehicle",0.5269-0.458-0.4379-0.3747-0.3279,2.13
2713,"carvana, car insurance, covid restrictions, register, car",0.4702-0.4243-0.3874-0.2842-0.2737,1.84
2714,"vehicle payment, contract, contracts, vehicle total, vehicle june",0.4373-0.4053-0.3861-0.3625-0.3616,1.95
2715,"vehicle carvana, new vehicle, vehicle vehicle, vehicle, state vehicle",0.4787-0.4482-0.3984-0.3829-0.353,2.06
2716,"purchased vehicle, bank statement, registration, agreement, registration process",0.4427-0.4225-0.3851-0.3742-0.3575,1.98
2717,"small clutch problem, car delivered, broken mirror, clutch, warranty approval",0.4628-0.3665-0.3526-0.3397-0.3019,1.82
2718,"il license, license, payment, title, titles",0.371-0.2828-0.2779-0.27-0.2685,1.47
2719,"cigarette smoke, cigarette, smoked, van, dream vehicle",0.4265-0.3998-0.3829-0.3693-0.3616,1.94
2720,"inspection, full inspection, temp tags, check engine light, warranty",0.4151-0.4094-0.3834-0.3616-0.3388,1.91
2721,"gmc acadia, acadia, carvana, warranty, vehicle january",0.5601-0.472-0.341-0.3245-0.2828,1.98
2722,"purchased vehicle, lender florida credit unit, carvana, lender, loan",0.5274-0.5015-0.4391-0.4156-0.4038,2.29
2723,"bought car, registration, carvana, license plates, register",0.4098-0.405-0.4009-0.3996-0.389,2.0
2724,"lean, carvana, * * * carvana, * * carvana, financial institute removed",0.4915-0.4677-0.4367-0.4303-0.3561,2.18
2725,"temp tags, temp tag, current temp tag, vehicle carvana, purchased vehicle",0.4605-0.4428-0.4241-0.387-0.3842,2.1
2726,"vehicle carvana, contacted carvana, temporary tags, license plates, carvana",0.5403-0.5361-0.4509-0.4472-0.4426,2.42
2727,"il license, license, payment, titles, title",0.4167-0.3083-0.2846-0.2819-0.2792,1.57
2728,"temporary car tag, car tag, contact carvana, temporary car, car carvana",0.6161-0.5016-0.4567-0.4492-0.4219,2.45
2729,"temporary registration, registration, registration information, 3rd party registration team, registration submission",0.5308-0.4866-0.4593-0.4515-0.4481,2.38
2730,"vehicle return, car return, carvana, vehicle money, return call",0.5469-0.5311-0.4247-0.3689-0.36,2.23
2731,"plate registration, new temp plates, temp plates, temp plate, new plates",0.5285-0.4716-0.4589-0.4184-0.3933,2.27
2732,"carvana, title, car, law, purchased",0.4938-0.3356-0.3348-0.305-0.2616,1.73
2733,"contacted carvana, az workflow, temporary plates, az, auto lien holder",0.4565-0.45-0.3977-0.391-0.3759,2.07
2734,"car carvana, carvana, carvana may, warranty company, push start button",0.4662-0.3835-0.3537-0.3521-0.3331,1.89
2735,"registration, car carvana, register, registered, bought car",0.4942-0.4826-0.4579-0.4338-0.3949,2.26
2736,"vehicle carvana, car repairs, model vehicle replacement, carvana, purchase vehicle",0.5273-0.4623-0.4555-0.4324-0.397,2.27
2737,"authorized payment, payment, bank account number, bank, bank account",0.56-0.3789-0.3526-0.3265-0.3239,1.94
2738,"previous repaid damage, issue report, mechanic, car mechanic, vehicle",0.4775-0.347-0.3435-0.33-0.3003,1.8
2739,"registration, carvana, car, title, drive line",0.4579-0.4576-0.3154-0.2814-0.2788,1.79
2740,"expired temporary plate, * * * * * * * registration, registration, * * * * * registration, purchased vehicle",0.5146-0.4278-0.4175-0.412-0.4083,2.18
2741,"towed, kia * * * * * * lx, tow, kia * * * * * * *, kia * * * * * *",0.3738-0.3577-0.3553-0.3502-0.3501,1.79
2742,"truck, * * * * f-150, truck description, f-150, carvana delivery",0.4251-0.4154-0.4108-0.4096-0.382,2.04
2743,"valid registration, registration, purchase process, original purchase price, late payment",0.6628-0.5807-0.4264-0.3751-0.3678,2.41
2744,"registration fees, complete registration, registration, financing company, register",0.4984-0.4896-0.4755-0.4238-0.4172,2.3
2745,"check bounced, car carvana, carvana, vehicle, car",0.5774-0.521-0.4589-0.3046-0.2509,2.11
2746,"return policy, warranty company, day return policy, reimbursement, warranty",0.4343-0.4074-0.4035-0.3839-0.3788,2.01
2747,"new temporary plate, temporary plate, previous vehicle, call today, registration",0.4797-0.4321-0.3499-0.3371-0.3254,1.92
2748,"car delivered, absolute worse car buying experience, car buying, car buying experience, rental vehicle",0.4272-0.4265-0.3956-0.39-0.3873,2.03
2749,"car registration, car carvana, registration, carvana, lending partner",0.5467-0.4663-0.3761-0.3668-0.336,2.09
2750,"active loan, fees).carvana, new loan, loan, third loan",0.4406-0.4075-0.4053-0.3964-0.3883,2.04
2751,"pa registration, de dmv, dmv, registration, vehicle",0.4843-0.464-0.4436-0.4135-0.3556,2.16
2752,"carvana contract, second temporary registration, infiniti q50 hybrid, temporary registration, infiniti q50",0.5036-0.4328-0.419-0.3951-0.351,2.1
2753,"paperwork carvana, contacted carvana, purchase carvana, registration paperwork, lien holders name",0.4951-0.4332-0.431-0.3835-0.38,2.12
2754,"repairs silverrock, repairs, repair requests, repair facility, repair",0.5702-0.4696-0.4573-0.4458-0.4415,2.38
2755,"high idle, idle, carvana issue, clean fuel system, carvana",0.5936-0.4841-0.4552-0.3382-0.3316,2.2
2756,"temporary plate, temporary tag, car online, plate, temporary",0.5105-0.4276-0.3741-0.3544-0.2944,1.96
2757,"car carvana, registration, carvana, carvana.com, temporary tag",0.4691-0.3951-0.3859-0.3799-0.3596,1.99
2758,"day temp tag, * * * * * silverado, silverado, temp tag, truck",0.393-0.3748-0.3725-0.3585-0.3234,1.82
2759,"tag registration, registration, temp tag, tag, bought car",0.6223-0.4945-0.4427-0.3723-0.3683,2.3
2760,"car issue, carvana, ubers, car shop, car",0.5003-0.3819-0.3736-0.3575-0.3416,1.95
2761,"mileage warranty, day warranty, warranty, complaint, panels",0.5325-0.4302-0.4292-0.3885-0.3401,2.12
2762,"new carvana vehicle, process carvana, carvana vehicle, carvana rep, carvana",0.5721-0.5598-0.5526-0.501-0.497,2.68
2763,"car swap, replacement delayed ................. june 5th, contacted carvana, contact carvana, replacement vehicle",0.4828-0.4341-0.4082-0.3985-0.3879,2.11
2764,"inspection, dealership, car dealership, bought car, white paint overspray",0.3917-0.3728-0.3587-0.3232-0.3184,1.76
2765,"vehicle carvana, purchased vehicle, reimbursement check, audi dealership, reimbursement",0.4456-0.4223-0.4138-0.3704-0.3569,2.01
2766,"registration, temporary tag, temporary tags, car carvana, bridgecrest",0.4567-0.4495-0.4472-0.4156-0.3731,2.14
2767,"brakes, car carvana, bought car, carvana, carvana may",0.47-0.4432-0.3873-0.33-0.3207,1.95
2768,"carvana llc, complaint, charges, kia * * * * *, kia * * * *",0.4291-0.4123-0.3381-0.3246-0.3242,1.83
2769,"registration, temporary plates, * registration, * * registration, carvana",0.483-0.4638-0.4458-0.4449-0.4216,2.26
2770,"silver rock warranty, downpayment, bought car, rock warranty, repairs",0.3623-0.3527-0.3455-0.336-0.3323,1.73
2771,"purchase carvana, carvana, legal registration, car return, day carvana",0.5655-0.4534-0.4427-0.4397-0.3963,2.3
2772,"carvana lien, carvana rep, carvana * *, carvana, carvana * * * *",0.5484-0.4925-0.4878-0.4777-0.4762,2.48
2773,"* * * * * * tacoma brand, false advertising, brand mats, weather brand floor mats, * * * * * * tacoma",0.4471-0.4454-0.4194-0.3955-0.3755,2.08
2774,"maintenance inspection, warranty company, third party warranty company, companys third party warranty company, inspection",0.5531-0.521-0.5113-0.5058-0.4547,2.55
2775,"- registered car, car carvana, car delivered, car history, state title",0.5237-0.4501-0.4218-0.394-0.3912,2.18
2776,"online vehicle, mini van, vehicle, registration hostage, van",0.4397-0.4256-0.4098-0.3627-0.3256,1.96
2777,"chevrolet trax, check engine light, trax, gas cap, engine light",0.4944-0.4077-0.3846-0.3334-0.3224,1.94
2778,"car registration, registration plates, tag registration, registration, new registration",0.6334-0.5867-0.5732-0.5512-0.537,2.88
2779,"paperwork carvana, register, car carvana, temporary license, contacted carvana",0.5215-0.4622-0.4608-0.445-0.4434,2.33
2780,"numerous uber payments, faulty vehicle, carvana contact, damages, received vehicle",0.4237-0.411-0.3977-0.385-0.3753,1.99
2781,"car carvana, ordered car, expired temp tag, vehicle, carvana",0.418-0.393-0.3811-0.3306-0.316,1.84
2782,"car registration, carvana, registration, temporary registration, vehicle",0.5831-0.5061-0.4291-0.3874-0.3562,2.26
2783,"car carvana, registration, carvana car, registered, carvana january",0.5244-0.5122-0.5112-0.448-0.4387,2.43
2784,"car payment, repo, first car payment, bought car, carvana nothing",0.4635-0.4286-0.3835-0.3785-0.3747,2.03
2785,"referral checks, overnight check, referral program, referral, purchased vehicle",0.5728-0.4228-0.3669-0.3379-0.2981,2.0
2786,"carvana customer support, tesla, customer support, repairs, live carvana customer support person",0.4058-0.3772-0.367-0.3643-0.3493,1.86
2787,"documentation carvana, carvana, reimbursement, registration, register",0.5282-0.4364-0.3795-0.3646-0.3586,2.07
2788,"paper license, tax office, new paper plate, carvanna, rep . * *",0.4161-0.3437-0.3333-0.3264-0.324,1.74
2789,"temporary operating tag, new temporary tag, temporary tag, registration, purchased vehicle",0.4865-0.4486-0.4479-0.3865-0.3861,2.16
2790,"carvana, referral program, referral, deceptive company, scam",0.5549-0.4475-0.4116-0.3522-0.3399,2.11
2791,"vehicle carvana, purchased vehicle, registration issues, due registration issues, carvana",0.5025-0.4417-0.4248-0.4029-0.3838,2.16
2792,"car purchase, contract, insurance claim, contracts, insurance",0.5208-0.4488-0.432-0.4004-0.3326,2.13
2793,"temporary tags, permanent tags, insurance information, carvana, car delivered",0.4864-0.4342-0.3607-0.3552-0.3237,1.96
2794,"late)carvana llc, email notary 5/20/2022 registration submitted date may 23/2022, carvana llc, vehicle carvana, purchased vehicle",0.4797-0.4652-0.4393-0.4376-0.418,2.24
2795,"contact carvana, contacted carvana, car registration, purchase car, carvana november",0.4764-0.4683-0.4562-0.3986-0.3643,2.16
2796,"hard credit check, payments, payment, original rates, credit check",0.4224-0.3951-0.3839-0.3832-0.3564,1.94
2797,"unsubscribe, personal information * * * * * *, personal information, deleting, carvana company",0.4493-0.3993-0.3975-0.3896-0.3773,2.01
2798,"vehicle carvana, advertised dvd player, dvd player, dodge grand caravan, purchased vehicle",0.585-0.566-0.5077-0.5029-0.4703,2.63
2799,"caravana, carvana, vehicle, insurance, deliver",0.5091-0.3698-0.3491-0.3393-0.3366,1.9
2800,"extra 8k, 8k, account, check, removed",0.3876-0.3319-0.2514-0.1974-0.1807,1.35
2801,"legal title, vehicle sale, carvana, carvana may, mazda3",0.5389-0.4737-0.4223-0.3637-0.3618,2.16
2802,"purchased vehicle, vehicle carvana, return car, carvana vehicle, scheduled deliveries",0.4941-0.4931-0.4793-0.4644-0.4304,2.36
2803,"new delivery date, new delivery, delivery date, bumped, transportation delay",0.4634-0.4036-0.4005-0.3994-0.3824,2.05
2804,"contacted carvana, refund, vehicle carvana, cancellation, purchased vehicle",0.5042-0.4329-0.4201-0.4104-0.3877,2.16
2805,"ordered car, car buying process, car buying, delayed, delay",0.4912-0.4437-0.4302-0.4218-0.4021,2.19
2806,"repair shop, refund, carvana, repair, car",0.4454-0.4297-0.3557-0.3404-0.273,1.84
2807,"financed car, * * * * * * avalon, complaint, attorney, carvanas partners",0.3716-0.3435-0.326-0.3114-0.3053,1.66
2808,"carvana clients, registration, register, carvana, notarized",0.4394-0.3885-0.3705-0.37-0.2967,1.87
2809,"actual delivery date options, delivery date, scheduled delivery, delivery confirmation email, contacted carvana",0.5939-0.5588-0.5198-0.4917-0.4594,2.62
2810,"incorrect tracking number, vehicle carvana, purchased vehicle, tracking number, carvana",0.5288-0.4699-0.4518-0.4094-0.3757,2.24
2811,"warranty company, warranty, covid situation, year 90k warranty, * * * * * * warranty",0.4346-0.4335-0.4305-0.4284-0.4211,2.15
2812,"cars fuel line, fuel line, fuel leak, rental car, uber",0.4259-0.4101-0.3891-0.3832-0.3581,1.97
2813,"purchased vehicle, receipt, registration, contacted carvana, vehicle carvana",0.4645-0.3948-0.3775-0.3419-0.3391,1.92
2814,"bridgecrest carvana, 3rd party company, bridgecrest, charges, repairs",0.5515-0.4225-0.4114-0.3616-0.3297,2.08
2815,"kia * * * * * *, kia * * * * *, kia * * * *, kia dealership car, kia * * *",0.4867-0.4867-0.4845-0.4832-0.4799,2.42
2816,"compensation fee, want compensation, new contract, contract, compensation",0.3805-0.3699-0.3682-0.3653-0.3314,1.82
2817,"battery repairs, return car, car carvana, new battery .., new battery",0.4554-0.4104-0.3434-0.3392-0.3224,1.87
2818,"silver rock repair warranty, warranty, inspection, delivery carvana, repairs",0.4271-0.4147-0.3852-0.3542-0.3485,1.93
2819,"pa law, drivers license, state law, carvana, valid driver",0.4785-0.3985-0.3667-0.3312-0.328,1.9
2820,"purchase carvana, carvana fix, car delivered, initiated purchase, order car",0.5499-0.5075-0.456-0.4437-0.4422,2.4
2821,"second credit check, credit check, second credit, credit scores, insurance papers",0.4775-0.4278-0.3533-0.3391-0.3199,1.92
2822,"new tires, bald tires, tires, tread, contacted carvana",0.5036-0.4855-0.4626-0.436-0.4255,2.31
2823,"car warranty, vw jetta, car problems, jetta, problem carvana",0.5266-0.4888-0.4791-0.4614-0.4475,2.4
2824,"vin number, registration, complete registration, verification paper, bought car",0.4359-0.414-0.4036-0.3842-0.3415,1.98
2825,"contacted carvana, carvana business, check carvana, carvana, carvana may",0.4848-0.4578-0.4379-0.4051-0.386,2.17
2826,"vehicle delivery date several times, vehicle delivery, generic carvana phone number, purchase carvana, new vehicle",0.5157-0.4435-0.4328-0.4326-0.3734,2.2
2827,"financing option, house financing option, interest rates, financing, house financing",0.5772-0.5526-0.5315-0.5136-0.5039,2.68
2828,"cancel, account, carvana, state regulations, credit",0.4377-0.3229-0.3156-0.299-0.2711,1.65
2829,"car carvana, bought car, credit carvana, purchase car, carvana",0.4631-0.4368-0.413-0.3964-0.3902,2.1
2830,"unauthorized inquiry, contacted carvana, credit report, credit file, credit bavk",0.5112-0.487-0.4771-0.441-0.3761,2.29
2831,"internal transmission issue, transmission issues, transmission issue, transmission, carvana",0.5371-0.471-0.4403-0.3699-0.3416,2.16
2832,"temporary permit, emergency permit, second temporary registration, temporary registration, permit",0.5691-0.5032-0.5028-0.453-0.4211,2.45
